animal_name,source,text,media_link,wikipedia_link
chinchilla,https://www.animalfactsencyclopedia.com/Chinchilla-facts.html,"Today, chinchilla fur comes from chinchillas raised on farms",,/wiki/Chinchilla
chinchilla,https://www.animalfactsencyclopedia.com/Chinchilla-facts.html,In the 1900's fur traders hunted chinchillas with dynamite,,/wiki/Chinchilla
mexican raccoon,https://www.animalfactsencyclopedia.com/Mexican-raccoon.html,The Mexican raccoon is formally known as the coati,,/wiki/Coati
mexican raccoon,https://www.animalfactsencyclopedia.com/Mexican-raccoon.html,There are four species of coati,,/wiki/Coati
mexican raccoon,https://www.animalfactsencyclopedia.com/Mexican-raccoon.html,The Mexican raccoon is the species known as the white-nosed coati,,/wiki/Coati
mexican raccoon,https://www.animalfactsencyclopedia.com/Mexican-raccoon.html,"Coatimundi, quati, tejon and hog-nosed coon are some other names",,/wiki/Coati
mexican raccoon,https://www.animalfactsencyclopedia.com/Mexican-raccoon.html,Tarantulas are a common part of the diet of a coati,,/wiki/Coati
mexican raccoon,https://www.animalfactsencyclopedia.com/Mexican-raccoon.html,"Coatis are members of the raccoon, or procyonid family",,/wiki/Coati
cougar,https://www.animalfactsencyclopedia.com/Cougar-facts.html,"The cougar, mountain lion, and puma are all the same animal",,/wiki/Cougar
cougar,https://www.animalfactsencyclopedia.com/Cougar-facts.html,Cougars have about a 12 to 18 year lifespan,,/wiki/Cougar
cougar,https://www.animalfactsencyclopedia.com/Cougar-facts.html,Male cougars are much larger than females,,/wiki/Cougar
cougar,https://www.animalfactsencyclopedia.com/Cougar-facts.html,Males are 130 to 260 pounds,,/wiki/Cougar
cougar,https://www.animalfactsencyclopedia.com/Cougar-facts.html,Females are 80 to 160 pounds,,/wiki/Cougar
cougar,https://www.animalfactsencyclopedia.com/Cougar-facts.html,The average male cougar is larger than the average African leopard,,/wiki/Cougar
cougar,https://www.animalfactsencyclopedia.com/Cougar-facts.html,"Cougars are not considered ""big cats"" because they do not roar",,/wiki/Cougar
